clusters	colors
TR24727_c0_g1_i1	1	#00FF66FF
TR42355_c2_g5_i9	2	#00FFB3FF
TR36339_c4_g1_i1	2	#00FFB3FF
TR39475_c0_g3_i3	2	#00FFB3FF
TR42313_c5_g1_i4	2	#00FFB3FF
TR42443_c3_g1_i9	2	#00FFB3FF
TR37251_c0_g1_i1	2	#00FFB3FF
TR9996_c0_g1_i1	3	#00FFFFFF
TR40734_c0_g1_i1	4	#00B2FFFF
TR3857_c0_g1_i1	5	#0066FFFF
TR35907_c0_g1_i1	2	#00FFB3FF
TR37245_c3_g1_i3	2	#00FFB3FF
TR38821_c0_g1_i3	2	#00FFB3FF
TR26931_c0_g1_i1	2	#00FFB3FF
TR41989_c3_g1_i3	3	#00FFFFFF
TR42548_c0_g2_i1	2	#00FFB3FF
TR41739_c1_g2_i13	2	#00FFB3FF
TR38741_c0_g1_i3	2	#00FFB3FF
TR42348_c0_g2_i3	2	#00FFB3FF
TR42198_c2_g1_i1	2	#00FFB3FF
TR37159_c4_g1_i3	6	#0019FFFF
TR39321_c0_g1_i1	7	#3300FFFF
TR29379_c1_g1_i4	7	#3300FFFF
TR39504_c0_g1_i1	8	#8000FFFF
TR40065_c1_g2_i5	9	#CC00FFFF
TR28637_c0_g1_i1	5	#0066FFFF
TR37749_c4_g2_i2	4	#00B2FFFF
TR36132_c8_g4_i3	7	#3300FFFF
TR43196_c3_g3_i1	2	#00FFB3FF
TR41899_c3_g2_i7	6	#0019FFFF
TR34217_c4_g1_i8	2	#00FFB3FF
TR36538_c6_g2_i1	10	#FF00E6FF
TR40381_c2_g1_i1	7	#3300FFFF
TR42121_c2_g2_i3	2	#00FFB3FF
TR27810_c0_g1_i2	9	#CC00FFFF
TR41945_c6_g2_i1	2	#00FFB3FF
TR42249_c1_g2_i1	2	#00FFB3FF
TR34357_c0_g1_i1	2	#00FFB3FF
TR42426_c0_g2_i3	2	#00FFB3FF
TR38692_c5_g1_i11	2	#00FFB3FF
TR31325_c0_g1_i1	10	#FF00E6FF
TR34327_c4_g1_i2	10	#FF00E6FF
TR34746_c1_g2_i2	2	#00FFB3FF
TR35285_c0_g1_i1	2	#00FFB3FF
TR35226_c3_g2_i1	2	#00FFB3FF
TR43012_c2_g1_i3	2	#00FFB3FF
TR35507_c1_g7_i3	2	#00FFB3FF
TR8485_c0_g1_i1	6	#0019FFFF
TR32361_c2_g3_i2	3	#00FFFFFF
TR34498_c2_g1_i2	3	#00FFFFFF
TR40986_c1_g2_i1	2	#00FFB3FF
TR36983_c2_g1_i1	2	#00FFB3FF
TR37125_c4_g5_i1	2	#00FFB3FF
TR33067_c1_g3_i2	6	#0019FFFF
TR38901_c0_g1_i3	10	#FF00E6FF
TR40705_c2_g1_i3	2	#00FFB3FF
TR36037_c2_g1_i5	2	#00FFB3FF
TR40033_c0_g1_i6	9	#CC00FFFF
TR33770_c0_g1_i2	6	#0019FFFF
TR33479_c0_g1_i3	3	#00FFFFFF
TR37125_c3_g2_i2	2	#00FFB3FF
TR21084_c0_g1_i1	9	#CC00FFFF
TR30429_c0_g1_i1	2	#00FFB3FF
TR10256_c0_g1_i1	7	#3300FFFF
TR40796_c0_g2_i2	10	#FF00E6FF
TR42555_c2_g3_i2	6	#0019FFFF
TR598_c0_g1_i1	10	#FF00E6FF
TR39728_c2_g1_i4	2	#00FFB3FF
TR10300_c0_g2_i1	7	#3300FFFF
TR41198_c1_g2_i9	2	#00FFB3FF
TR36649_c1_g3_i3	3	#00FFFFFF
TR42423_c2_g3_i5	7	#3300FFFF
TR37849_c1_g2_i2	5	#0066FFFF
TR41121_c3_g2_i2	2	#00FFB3FF
TR43040_c0_g1_i7	2	#00FFB3FF
